2020-05-04T19:13:01.819Z|6616a718ff8b5563|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|160|-|392.560|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:01.851Z|7cd05f6448bf402a|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|373.651|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:02.127Z|7b8697b52847b74c|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|683.464|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:02.173Z|62a04cb4b5d8ae5a|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|31.102|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:03.346Z|1b57ec7ccc0c9858|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|401|12|-|1159.636|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:03.372Z|1872d4119874678c|::ffff:127.0.0.1|anonymous|GET|/api/v1/auth/issaml|200|5|-|1.904|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:03.414Z|5ee8fdcf29519ecd|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/logout|200|0|0|31.698|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:03.541Z|40c0b5f2499b284a|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|116.440|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:04.109Z|4c6b7b1f5628c8e3|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|136.385|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:04.161Z|529507fd4841bbe2|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/oauth2/loginRequestPlatform|404|74|-|174.244|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:04.267Z|30963f4ce1ec0f72|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|160|-|289.645|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:13:06.077Z|3b668ea3aa470ad |::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/treebrowser/repoOrder|401|12|-|2.192|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
